City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,san salvador de jujuy,-24.1946,-65.2971,16.74,90,100,0.36,AR,1697596858
273,celestun,20.8667,-90.4,23.81,60,59,4.61,MX,1697597072
274,taltal,-25.4,-70.4833,17.08,79,98,0.7,CL,1697597017
275,hegang,47.4,130.3667,11.49,46,100,2.53,CN,1697597073
276,la passe,45.5549,-0.8967,20.13,77,84,9.95,FR,1697597073
277,bayganin,48.6947,55.8742,4.17,77,76,3.56,KZ,1697597073
278,mongu,-15.2484,23.1274,18.8,85,58,1.58,ZM,1697597073
279,san agustin de valle fertil,-30.6335,-67.4682,14.28,67,58,4.3,AR,1697597074
280,mount pearl,47.5166,-52.7813,4.36,90,100,0.45,CA,1697597074
281,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697597074
282,saint-louis du nord,19.9333,-72.7167,28.21,78,12,4.09,HT,1697597074
283,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,100,5.0,RU,1697597075
284,gemerek,39.1834,36.0719,10.1,73,31,0.84,TR,1697597075
285,yanam,16.7333,82.2167,29.71,59,8,1.56,IN,1697597075
286,hinton,53.4001,-117.5857,6.08,78,86,2.53,CA,1697597075
287,al mawsil al jadidah,36.3346,43.0978,20.93,43,0,0.97,IQ,1697597075
288,akureyri,65.6835,-18.0878,5.0,87,97,5.12,IS,1697597076
289,heroica caborca,30.7167,-112.15,30.26,21,4,2.78,MX,1697597076
290,rongelap,11.1635,166.8941,28.42,75,19,6.03,MH,1697597076
291,new norfolk,-42.7826,147.0587,24.28,21,8,1.49,AU,1697597076
292,westport,41.1415,-73.3579,12.72,82,0,2.06,US,1697597077
293,sale,34.0389,-6.8166,22.38,88,40,3.6,MA,1697597077
294,mountain home,43.133,-115.6912,15.79,47,0,3.6,US,1697596917
295,baiyin,36.5583,104.2081,8.01,61,100,2.03,CN,1697597077
296,tralee,52.2704,-9.7026,12.72,93,100,7.63,IE,1697597078
297,namibe,-15.1961,12.1522,17.24,82,39,1.36,AO,1697597078
298,barguzin,53.6167,109.6167,4.21,93,87,2.24,RU,1697597078
299,izazi,-7.2,35.7333,22.68,63,65,1.52,TZ,1697597078
300,howard springs,-12.497,131.047,34.95,21,6,2.37,AU,1697597079
301,hammerfest,70.6634,23.6821,0.25,93,40,2.57,NO,1697596975
302,puerto rosario,-24.45,-57.0833,28.04,64,41,3.81,PY,1697597079
303,ceres,37.5949,-120.9577,23.97,57,0,0.0,US,1697596806
304,ben lomond,37.0891,-122.0863,21.91,78,4,1.9,US,1697597079
305,susuman,62.7833,148.1667,-13.9,62,28,0.45,RU,1697597080
306,aberystwyth,52.4155,-4.0829,10.39,79,100,12.39,GB,1697597080
307,igrim,63.1906,64.4162,7.23,84,84,4.02,RU,1697597080
308,isangel,-19.55,169.2667,26.91,68,80,4.21,VU,1697597080
309,guerrero negro,27.9769,-114.0611,20.85,78,28,5.44,MX,1697597081
310,aswan,24.0934,32.907,20.61,42,0,3.6,EG,1697597081
311,male,4.1748,73.5089,27.97,78,20,3.6,MV,1697597082
312,turtas,58.9417,69.1325,8.73,77,6,4.76,RU,1697597082
313,smithers,54.7804,-127.1743,8.18,87,75,4.12,CA,1697597083
314,vainode,56.4333,21.8667,8.99,86,99,6.03,LV,1697597083
315,la'ie,21.6477,-157.9253,29.98,71,46,1.79,US,1697597083
316,tofol,5.3248,163.0078,27.88,83,75,4.12,FM,1697597056
317,nikolayevsk-on-amure,53.1406,140.73,8.61,67,77,1.8,RU,1697597084
318,amalapuram,16.5833,82.0167,29.5,60,9,1.52,IN,1697597084
319,kourou,5.1552,-52.6478,25.03,86,73,2.84,GF,1697597084
320,tazovsky,67.4667,78.7,5.17,96,100,5.36,RU,1697597084
321,suva,-18.1416,178.4415,26.71,74,75,5.14,FJ,1697597085
322,pervari,37.9357,42.5493,12.95,77,42,1.74,TR,1697597085
323,nizhnesortymskiy,62.4397,71.7603,6.14,93,2,7.28,RU,1697597085
324,hithadhoo,-0.6,73.0833,27.24,77,13,5.66,MV,1697597085
325,taguatinga,-12.3857,-46.5711,25.88,23,3,2.01,BR,1697597086
326,egilsstadir,65.2653,-14.3948,2.95,93,75,3.09,IS,1697597086
327,murzuq,25.9155,13.9184,20.95,23,0,2.39,LY,1697597086
328,i-n-salah,27.1935,2.4607,25.65,18,1,2.39,DZ,1697597086
329,belyy yar,53.6039,91.3903,8.94,76,40,2.0,RU,1697597087
330,butterworth,5.3991,100.3638,30.59,79,20,2.24,MY,1697597087
331,vera cruz,-12.6333,-41.0333,23.76,78,2,0.85,BR,1697597087
332,humaita,-7.5061,-63.0208,27.38,56,96,0.1,BR,1697597087
333,arkhangel'sk,64.5401,40.5433,3.96,78,100,5.18,RU,1697597053
334,kalach-na-donu,48.691,43.5264,3.0,68,13,3.32,RU,1697597088
335,pangai,-19.8,-174.35,25.06,69,75,9.77,TO,1697597088
336,nyakahanga,-1.6033,31.1414,14.91,89,70,0.78,TZ,1697597088
337,galliano,29.4422,-90.2992,15.56,77,0,0.0,US,1697597088
338,eaglehawk,-36.7333,144.25,21.31,40,0,2.79,AU,1697597089
339,gadzhiyevo,69.2551,33.3362,2.34,68,99,6.48,RU,1697597089
340,belmonte,-15.8631,-38.8828,22.65,80,60,1.93,BR,1697597089
341,mayya,61.7333,130.2811,-6.38,81,100,1.68,RU,1697597089
342,argo,37.6333,22.7333,18.5,84,36,1.51,GR,1697597089
343,dolores,-36.3132,-57.6792,4.41,76,0,2.58,AR,1697597090
344,vanimo,-2.6741,141.3028,29.95,64,87,2.87,PG,1697597090
345,emerald,-23.5333,148.1667,28.52,37,22,5.17,AU,1697597090
346,berezovyy,51.6667,135.7,8.81,62,92,1.55,RU,1697597090
347,sidi qacem,34.2215,-5.7078,23.12,85,5,2.04,MA,1697597091
348,aykhal,66.0,111.5,-11.07,93,99,4.92,RU,1697597091
349,ghat,24.9647,10.1728,24.32,23,9,1.01,LY,1697597030
350,sambava,-14.2667,50.1667,22.21,80,48,3.21,MG,1697597091
351,ta`u,-14.2336,-169.5144,25.97,83,91,9.1,AS,1697597092
352,homer,59.6425,-151.5483,9.94,85,75,3.58,US,1697597040
353,quellon,-43.1167,-73.6167,8.44,95,98,2.94,CL,1697597092
354,fada,9.5667,8.3,20.25,89,100,1.58,NG,1697597092
355,merrill,45.1805,-89.6835,10.58,97,0,0.0,US,1697597093
356,ishigaki,24.3448,124.1572,28.07,61,40,4.63,JP,1697597093
357,naze,28.3667,129.4833,23.51,54,0,2.54,JP,1697597079
358,yenifakili,39.2114,35.0004,12.61,62,70,1.23,TR,1697597093
359,corner brook,48.9667,-57.9484,3.09,90,33,1.03,CA,1697597093
360,champerico,14.3,-91.9167,26.3,81,98,1.51,GT,1697597094
361,bonthe,7.5264,-12.505,24.0,93,99,1.94,SL,1697597094
362,east london,-33.0153,27.9116,15.48,83,0,4.54,ZA,1697597005
